study_hours,attendance,previous_score,sleep_hours,final_score
10.0,81.1,41.0,8.5,60.8
8.8,93.1,94.3,5.9,74.77
9.0,97.5,63.5,5.4,68.67
9.5,57.4,61.1,5.1,53.52
1.8,96.3,77.4,7.6,58.22
4.9,74.6,52.0,7.4,47.34
2.3,62.9,92.2,7.2,50.38
10.5,73.0,83.2,5.9,68.22
7.9,99.0,44.9,6.6,58.72
4.6,74.6,63.0,7.4,48.26
1.7,66.4,88.4,7.0,49.52
4.4,81.7,92.0,9.0,62.5
4.6,62.0,65.7,5.5,46.51
9.0,53.8,73.7,7.8,69.07
8.0,56.4,49.2,6.6,41.87
10.8,56.4,94.5,6.7,73.77
6.2,57.6,52.7,7.9,51.11
2.3,56.9,91.9,7.8,52.71
8.8,82.0,75.7,9.0,71.87
9.4,59.1,73.4,5.5,55.31
7.2,67.3,68.2,5.4,55.33
9.5,94.8,52.7,7.9,62.27
6.4,73.7,49.7,7.3,51.68
6.8,83.4,52.1,6.1,55.19
5.7,58.6,50.3,5.3,49.84
1.3,59.6,82.9,5.3,45.72
2.2,52.0,59.3,8.6,39.39
1.3,58.4,43.2,5.8,26.77
8.0,63.9,93.3,6.3,66.0
4.5,58.9,88.6,5.9,56.05
6.6,54.4,91.0,6.4,59.47
11.0,56.0,94.7,5.3,72.74
3.7,73.0,49.6,7.1,45.74
5.5,60.3,61.8,5.3,40.56
9.3,68.2,81.7,8.2,73.92
3.5,75.2,78.3,5.9,56.9
1.8,84.5,48.5,7.2,37.78
4.2,52.0,84.9,8.5,45.97
2.8,90.0,52.3,7.6,42.0
11.2,81.4,52.3,7.1,67.72
9.9,54.1,69.5,6.3,58.91
8.0,93.7,72.6,6.3,61.55
10.6,96.0,71.9,7.7,72.39
9.8,53.1,45.0,9.0,54.89
3.1,63.8,88.3,7.6,57.02
10.8,90.3,54.6,7.2,63.99
6.9,87.4,47.1,7.9,50.68
9.9,59.2,88.9,6.9,68.34
10.9,60.5,92.6,5.2,68.16
4.5,68.5,87.4,7.2,64.97
2.2,74.2,84.5,8.8,53.99
3.5,80.9,76.0,5.7,56.59
5.7,68.4,70.3,7.8,60.77
10.0,73.1,44.8,5.8,56.13
10.5,87.4,62.5,7.1,65.15
1.1,51.8,60.5,5.4,32.64
6.6,62.6,54.3,6.8,46.69
5.6,85.7,79.8,8.0,59.72
3.4,94.8,67.3,6.4,53.38
2.3,75.6,44.5,7.7,31.51
4.7,76.6,52.1,8.2,51.4
11.4,55.4,77.6,8.7,68.46
4.6,72.4,44.2,5.9,39.14
6.7,76.6,86.8,6.6,65.99
8.7,62.1,67.2,5.6,54.88
5.0,63.5,66.4,9.0,54.1
11.7,68.9,72.6,8.7,70.3
11.6,51.0,85.4,7.2,74.47
3.8,66.1,59.1,8.4,39.84
6.5,60.6,77.3,7.1,57.34
4.3,66.4,71.1,7.5,58.35
4.1,56.0,54.7,5.4,32.96
1.4,94.5,88.3,8.0,56.15
7.7,79.7,83.9,5.5,67.24
6.5,84.0,76.2,8.3,64.71
1.6,89.5,86.8,8.1,58.99
4.1,74.9,87.7,7.8,62.1
11.0,54.3,79.0,5.1,66.81
3.6,76.9,86.0,6.2,60.66
2.6,79.3,78.4,6.1,52.39
6.4,87.3,77.4,6.4,61.29
11.8,71.6,74.0,5.4,71.49
3.7,56.4,81.4,8.7,60.63
8.4,64.2,48.7,7.2,49.23
9.4,68.2,88.4,6.2,65.73
3.6,82.3,88.0,6.6,63.5
9.0,78.5,41.6,6.8,50.56
5.0,67.8,85.4,7.4,50.29
8.0,99.3,47.1,7.1,60.06
8.0,80.3,58.4,8.7,57.26
6.9,61.9,80.9,7.0,59.27
2.0,55.1,48.8,9.0,35.56
10.2,57.6,85.0,8.4,71.51
4.5,62.3,85.8,5.8,56.97
3.1,58.0,67.9,8.7,44.11
1.4,59.3,40.4,5.5,26.81
7.5,64.3,55.8,8.3,51.35
8.5,58.7,73.9,6.5,61.89
1.2,94.8,94.0,8.5,64.21
6.6,54.0,74.7,8.5,52.62
3.5,76.2,54.3,8.2,48.88
8.1,70.5,74.9,8.2,61.74
2.9,99.1,69.7,6.2,55.92
8.6,55.6,82.9,5.3,62.12
5.3,69.9,45.9,6.6,48.63
11.3,98.5,81.9,5.7,77.39
2.5,93.3,69.8,7.8,51.29
4.8,90.9,93.0,6.4,66.1
2.2,62.9,58.8,8.9,39.82
11.2,58.5,74.8,7.6,70.88
10.7,83.4,91.3,8.3,74.67
3.8,96.5,45.6,5.5,38.18
8.3,77.8,91.5,8.4,69.7
10.0,78.6,77.8,8.7,76.51
7.1,64.0,43.7,6.9,50.61
6.8,88.5,56.6,7.4,55.28
3.7,59.4,78.9,8.1,51.08
2.0,66.2,43.7,5.7,30.05
10.9,71.3,72.0,7.0,72.62
10.9,75.4,59.0,6.6,58.84
8.0,62.1,74.2,5.6,58.27
4.7,55.7,42.5,6.5,38.45
4.8,80.5,87.9,5.3,61.63
9.0,64.4,93.5,5.1,69.08
10.9,79.1,93.3,5.5,81.26
10.8,57.7,81.2,8.9,60.5
9.6,74.1,47.2,7.2,57.28
8.1,76.6,81.7,8.9,66.9
1.9,52.6,41.4,6.7,19.26
2.8,66.8,41.2,6.2,33.58
10.9,56.7,57.8,7.0,63.43
7.7,53.2,66.9,6.8,52.31
1.1,99.5,82.4,5.4,56.62
2.1,66.1,77.6,7.6,54.54
8.3,90.5,64.5,5.9,66.51
1.1,62.7,55.0,7.5,40.98
2.8,84.1,94.8,7.6,65.05
7.0,88.0,63.4,5.6,56.73
8.6,79.8,64.8,5.2,52.0
8.2,73.6,49.0,8.1,52.12
3.5,70.6,83.7,6.8,50.89
8.8,67.4,78.2,5.2,70.52
3.6,96.5,52.1,9.0,49.37
4.6,91.5,44.5,5.2,42.69
9.2,98.3,77.4,7.8,76.31
8.1,56.2,76.0,8.9,62.02
10.3,86.5,55.0,6.0,67.91
8.2,96.9,92.3,5.6,72.17
7.3,59.1,48.3,5.5,43.79
2.0,53.3,63.8,6.2,33.37
5.0,87.1,91.9,5.4,58.45
3.9,78.7,63.1,7.8,47.07
3.7,92.1,75.1,5.2,53.72
11.7,57.0,61.9,7.0,60.14
5.3,89.8,55.1,9.0,51.23
10.8,60.1,94.1,8.3,71.19
7.9,58.2,62.5,7.5,53.34
9.7,58.2,89.2,6.2,62.22
6.5,90.7,52.6,7.5,56.89
7.3,83.3,51.7,7.1,53.32
6.4,76.2,41.7,6.7,38.03
3.1,67.9,75.8,5.5,45.85
8.9,93.9,60.3,8.5,62.6
4.1,69.6,87.5,6.8,58.5
1.3,90.8,66.0,5.8,49.71
8.1,72.0,93.3,6.5,62.48
2.9,68.8,50.2,6.7,37.55
11.3,73.1,87.8,8.3,77.84
11.5,65.1,82.7,7.9,76.78
11.1,87.4,82.4,8.1,79.68
5.1,75.1,86.5,5.0,54.94
1.2,61.6,81.9,6.7,44.03
11.2,95.0,74.4,6.9,72.4
5.7,69.2,47.2,5.1,44.74
11.6,77.2,41.8,6.0,56.2
11.6,95.3,90.6,8.0,93.2
10.4,81.2,73.9,5.5,67.56
4.2,55.8,83.8,7.1,49.98
5.2,97.0,66.5,5.9,49.97
10.4,81.4,46.5,5.0,47.56
4.5,66.7,46.9,6.0,31.69
2.9,57.0,77.7,8.9,50.88
7.1,89.7,63.7,8.2,63.17
11.3,81.0,51.0,8.8,58.33
8.7,76.7,67.0,7.0,65.16
7.3,94.7,43.5,5.4,47.67
2.1,89.4,72.0,7.2,51.39
7.8,57.6,54.8,6.8,55.21
11.9,65.6,83.9,8.4,80.09
2.5,62.4,57.1,5.4,34.57
6.7,87.2,65.0,7.0,54.74
10.7,51.7,40.6,5.6,37.74
9.1,78.5,44.0,6.3,48.75
8.7,88.1,61.6,7.9,62.5
8.7,93.8,66.4,6.9,61.48
5.0,67.1,73.0,6.5,51.35
4.2,91.1,56.0,6.6,48.68
9.9,55.5,78.2,6.8,63.12
9.9,92.3,87.3,8.1,76.66
10.5,56.4,82.9,8.6,71.23
11.0,69.9,42.2,8.8,58.93
6.6,89.9,66.4,8.1,56.64
6.5,57.5,45.8,6.3,46.33
9.8,61.5,53.3,7.8,55.17
8.1,86.1,94.3,6.8,74.49
8.7,86.0,47.8,6.0,56.59
9.8,82.1,67.4,8.4,68.89
10.8,84.7,74.0,5.2,73.09
4.7,77.1,78.6,8.6,60.44
5.1,62.6,70.8,6.8,48.01
2.0,67.3,40.5,7.5,32.75
7.4,59.1,58.0,7.6,46.2
1.4,95.4,68.5,8.6,51.51
6.1,79.2,44.8,7.5,46.33
7.0,70.0,59.3,7.5,52.1
4.2,73.1,41.8,5.3,35.02
7.5,97.4,44.3,7.1,46.16
1.3,57.7,61.8,5.6,31.69
1.4,79.3,47.3,7.9,36.83
10.0,75.3,71.2,7.0,67.0
5.0,80.6,77.9,7.7,55.14
2.4,50.9,84.0,5.2,49.39
6.7,93.6,51.0,5.3,47.59
9.5,96.6,49.2,7.9,65.77
3.4,78.3,45.8,5.3,38.34
7.9,84.8,75.0,5.3,60.07
1.9,96.1,78.9,5.0,58.88
1.6,85.4,41.7,8.8,32.54
6.8,57.6,91.5,8.0,68.25
6.9,78.8,42.9,6.4,49.86
8.0,80.3,69.8,6.2,58.1
9.0,71.2,79.0,6.4,71.02
11.7,86.8,87.9,8.1,81.65
6.7,96.7,79.3,7.6,69.16
4.6,96.3,84.1,5.7,63.01
9.7,72.5,58.7,5.7,56.8
4.0,55.7,84.8,5.4,53.43
5.8,99.2,44.4,7.6,53.85
1.9,91.9,89.2,8.1,53.02
1.3,56.2,70.1,6.1,43.21
11.6,96.0,85.0,5.1,72.25
10.2,93.5,64.9,5.3,70.16
8.7,75.9,75.4,8.9,72.51
5.5,79.6,69.0,6.2,49.64
2.9,70.0,80.2,8.1,51.35
2.7,52.7,44.5,7.5,26.78
3.8,66.8,43.3,6.5,34.58
7.0,90.1,53.6,5.8,51.61
8.9,50.2,48.8,5.5,48.13
8.3,66.7,87.9,7.5,73.47
4.1,69.9,52.1,8.1,48.9
11.5,76.9,93.7,7.6,79.29
9.1,96.0,58.5,7.1,62.89
7.1,67.3,50.0,5.2,38.14
7.7,67.3,83.4,8.9,63.73
5.6,86.9,76.2,8.2,66.17
3.7,72.6,67.4,6.2,53.49
4.9,61.2,70.5,8.9,47.69
9.3,72.6,79.6,7.4,65.95
1.2,57.0,52.6,7.3,31.76
2.3,58.8,94.8,8.0,56.23
1.5,74.9,93.6,8.2,53.66
1.4,70.9,75.8,7.6,48.43
10.4,95.7,51.0,5.5,59.23
8.7,68.1,77.4,6.4,63.15
6.2,79.0,44.0,8.7,50.29
2.1,81.6,41.7,5.9,33.29
6.4,50.7,54.2,6.5,41.07
6.2,83.2,65.4,6.7,55.34
2.9,58.9,87.8,6.8,51.33
5.8,98.1,80.0,7.5,64.79
5.4,57.4,80.8,8.8,56.37
7.8,70.7,63.4,6.0,61.1
8.0,54.3,59.0,5.5,50.62
1.5,99.8,60.4,5.8,43.4
5.1,75.1,94.3,8.5,69.5
7.9,79.8,42.2,7.6,48.75
6.5,53.4,87.7,6.1,62.91
10.4,87.5,71.8,8.3,74.11
8.2,60.5,64.1,8.4,56.64
2.8,94.9,79.9,8.4,61.07
1.8,60.3,66.8,8.7,36.4
8.1,59.5,88.0,6.0,59.22
1.3,51.8,89.5,8.0,43.7
7.4,73.6,63.2,6.8,56.11
11.3,78.2,55.2,8.4,72.17
7.3,53.3,72.6,7.9,65.02
5.3,88.8,90.2,8.1,70.74
8.1,72.7,51.6,7.6,55.05
6.0,76.2,74.3,5.7,48.83
7.0,72.0,74.7,7.2,57.74
11.4,70.0,80.3,8.9,72.33
5.2,78.0,47.2,8.7,44.31
11.6,57.8,79.4,5.2,66.31
11.0,59.1,90.0,5.7,69.44
3.2,93.1,49.9,5.5,34.06
1.8,97.3,53.1,7.9,47.56
2.1,68.7,93.4,8.3,52.61
1.2,63.5,50.0,5.9,31.18
2.0,82.2,87.0,7.0,63.5
8.5,70.4,67.1,8.4,57.97
1.8,51.3,53.6,7.9,23.17
4.5,57.8,87.9,7.2,54.91
10.3,85.8,64.5,7.4,71.73
1.3,82.9,68.3,7.0,53.04
10.0,51.4,59.8,6.2,49.14
4.1,61.1,72.6,7.3,51.13
2.3,61.6,49.0,7.8,33.04
8.7,83.6,61.5,8.5,62.65
7.9,51.0,93.3,7.5,76.31
10.7,55.2,54.2,8.0,50.93
9.1,90.0,76.1,5.6,68.91
9.8,58.9,57.9,6.8,57.35
4.1,82.6,82.5,5.0,59.87
3.0,61.9,47.2,6.0,33.61
9.3,55.0,93.3,7.9,72.07
9.9,62.2,65.0,9.0,61.48
11.9,86.1,53.0,5.4,64.3
5.5,92.8,44.0,6.6,45.28
5.1,91.5,49.3,8.2,52.6
9.5,69.9,68.6,5.8,59.32
4.7,83.4,58.5,7.2,51.23
11.2,60.2,85.6,7.9,73.3
10.4,64.7,63.7,7.5,66.59
5.7,94.8,53.7,5.8,50.61
9.3,50.7,73.9,6.4,51.69
9.3,54.3,78.9,8.1,69.53
2.1,60.4,49.2,7.2,29.67
10.9,51.3,49.2,5.0,47.1
6.6,59.1,42.0,8.0,39.79
10.1,79.2,80.5,5.1,74.42
4.5,71.1,76.5,8.0,46.91
10.9,94.6,66.1,5.8,81.9
5.3,90.9,86.4,8.8,72.28
1.1,67.1,84.3,6.5,48.1
11.0,63.0,72.2,6.3,64.97
2.0,69.0,87.8,5.6,51.3
4.5,79.5,51.3,6.2,45.59
11.5,63.4,46.2,8.5,60.72
11.5,81.2,54.8,9.0,69.43
7.3,70.5,43.1,6.5,45.38
8.0,77.6,69.2,6.8,59.95
5.9,71.8,91.5,7.9,65.12
4.2,64.7,42.2,8.5,37.64
4.6,97.4,46.7,7.4,52.5
8.4,88.2,64.9,6.6,64.53
9.3,57.0,91.4,6.7,56.92
9.7,93.4,57.4,7.8,67.75
9.7,74.4,67.9,5.0,61.68
2.0,94.7,42.3,7.5,38.89
6.4,90.0,48.2,6.4,48.24
1.6,71.3,94.3,8.2,61.06
7.0,51.1,93.1,5.4,64.06
5.9,63.4,40.3,7.4,36.74
10.8,77.1,92.3,6.9,79.79
4.9,81.7,75.2,7.6,54.03
2.3,62.9,87.7,5.3,43.37
2.6,57.0,65.0,7.3,38.44
9.4,91.7,68.4,7.2,71.45
7.8,99.2,66.9,7.2,69.02
2.1,76.3,76.7,7.4,51.99
1.9,58.6,47.7,7.7,35.32
8.7,63.6,41.6,8.2,50.73
1.8,50.9,56.9,6.1,29.41
10.0,95.7,78.8,8.3,78.56
8.8,55.9,51.1,7.0,52.67
1.9,78.8,77.0,5.3,50.07
1.9,63.7,93.3,5.2,55.22
11.9,77.7,45.2,6.3,61.8
5.1,82.6,77.0,8.1,61.61
5.1,91.5,64.4,7.8,60.59
9.9,60.3,87.7,8.2,71.48
11.4,50.5,49.7,7.1,50.61
11.8,56.8,78.1,6.8,68.39
9.3,95.0,86.1,5.6,71.17
5.1,93.7,92.0,6.3,64.32
1.9,79.9,77.6,6.7,49.12
9.5,80.0,67.3,5.4,58.97
7.1,83.3,74.0,5.9,59.49
5.7,58.8,87.8,7.4,51.99
11.0,95.7,71.4,7.9,76.26
2.2,70.9,41.7,9.0,35.49
6.4,69.2,91.2,8.7,64.12
1.1,75.9,77.9,7.6,50.82
6.2,52.3,77.2,6.7,57.12
1.6,58.3,51.9,7.5,26.75
2.3,86.9,76.2,8.1,50.86
2.3,54.1,61.7,5.5,32.21
8.1,80.2,75.8,6.6,60.55
9.2,62.3,45.9,8.4,55.15
7.4,69.5,76.2,6.5,59.14
11.6,64.4,95.0,7.3,77.74
5.1,67.8,42.7,7.4,32.0
4.1,86.0,93.7,5.7,65.01
10.6,64.9,62.4,6.4,55.45
3.5,78.3,87.9,6.3,57.57
11.6,73.8,83.0,5.1,73.56
1.1,83.2,71.2,5.1,48.68
11.7,96.8,80.6,8.3,76.93
1.5,86.6,88.3,6.1,42.21
10.8,60.7,62.2,7.1,61.55
6.8,51.6,58.0,6.2,52.5
11.9,63.1,76.7,8.8,78.2
1.8,79.8,84.4,6.0,52.27
7.1,52.6,81.9,6.7,55.84
11.7,74.8,83.9,8.5,81.68
6.8,79.8,64.0,8.4,54.46
7.9,66.7,85.0,5.7,65.13
8.7,88.5,46.6,8.2,59.17
6.0,55.3,69.9,6.8,54.72
7.9,53.8,40.3,6.9,52.72
7.4,86.4,57.9,5.5,55.97
10.9,74.8,60.2,5.3,58.95
1.5,84.4,61.8,7.9,44.41
4.1,71.7,78.3,7.0,46.83
11.5,62.3,61.4,6.7,59.23
10.8,91.0,64.7,7.9,69.08
6.0,90.0,53.1,8.1,51.45
7.8,84.7,60.5,5.6,56.91
4.1,63.6,52.5,7.4,37.59
3.1,79.5,44.0,5.5,40.16
6.1,68.0,73.2,8.0,57.19
4.9,54.6,76.8,7.6,51.82
7.4,95.9,74.1,8.8,67.71
1.9,56.8,65.5,5.3,37.0
11.7,97.5,60.9,5.2,72.13
11.8,72.3,87.5,6.1,72.63
